YM_ID|POLICE_AREA|GRP_DETAIL_CD|DRIVE_OVER|VIOLATION|SPEEDING|PEDESTRIAN|SAFEDRIVING|SAFETY|CROSSING|ETC|ETL_TYPE|ETL_DATE
201305|P02|9402|0|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201305|P03|9401|11|15|0|2|54|17|5|9|0601|2014-08-01 17:04:41
201305|P03|9403|17|16|0|2|76|27|6|12|0601|2014-08-01 17:04:41
201305|P04|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201305|P05|9401|1|6|1|2|50|2|2|2|0601|2014-08-01 17:04:41
201305|P05|9403|2|8|0|2|73|6|5|2|0601|2014-08-01 17:04:41
201305|P06|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201306|P02|9401|4|23|0|6|37|9|0|5|0601|2014-08-01 17:04:41
201306|P02|9403|4|35|0|5|50|16|0|8|0601|2014-08-01 17:04:41
201306|P03|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201306|P04|9401|10|7|0|2|39|5|3|4|0601|2014-08-01 17:04:41
201306|P04|9403|19|9|0|2|58|10|4|6|0601|2014-08-01 17:04:41
201306|P05|9402|0|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201306|P06|9401|8|18|0|8|90|14|6|7|0601|2014-08-01 17:04:41
201306|P06|9403|12|32|0|8|124|24|8|8|0601|2014-08-01 17:04:41
201307|P02|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201307|P03|9401|10|12|0|3|55|7|6|10|0601|2014-08-01 17:04:41
201307|P03|9403|26|16|0|3|81|14|7|17|0601|2014-08-01 17:04:41
201307|P04|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201307|P05|9401|6|3|0|2|30|2|1|1|0601|2014-08-01 17:04:41
201307|P05|9403|13|3|0|2|35|2|4|1|0601|2014-08-01 17:04:41
201307|P06|9402|1|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201308|P02|9401|1|23|0|2|44|7|1|7|0601|2014-08-01 17:04:41
201308|P02|9403|1|40|0|2|74|8|3|8|0601|2014-08-01 17:04:41
201308|P03|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201308|P04|9401|3|7|0|0|36|4|4|3|0601|2014-08-01 17:04:41
201308|P04|9403|5|7|0|0|44|14|5|5|0601|2014-08-01 17:04:41
201308|P05|9402|0|0|0|0|3|0|0|0|0601|2014-08-01 17:04:41
201308|P06|9401|4|29|0|3|100|14|7|1|0601|2014-08-01 17:04:41
201308|P06|9403|16|64|0|3|145|28|12|3|0601|2014-08-01 17:04:41
201309|P02|9402|1|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201309|P03|9401|2|12|1|6|50|6|11|6|0601|2014-08-01 17:04:41
201309|P03|9403|3|17|0|8|69|7|19|7|0601|2014-08-01 17:04:41
201309|P04|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201309|P05|9401|2|3|0|2|36|2|4|1|0601|2014-08-01 17:04:41
201309|P05|9403|2|5|0|2|49|2|5|1|0601|2014-08-01 17:04:41
201309|P06|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201310|P02|9401|6|13|1|6|54|9|2|8|0601|2014-08-01 17:04:41
201310|P02|9403|9|17|0|5|86|14|6|9|0601|2014-08-01 17:04:41
201310|P03|9402|0|0|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201310|P04|9401|5|9|0|4|29|6|0|4|0601|2014-08-01 17:04:41
201310|P04|9403|4|12|0|4|41|10|0|5|0601|2014-08-01 17:04:41
201310|P05|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201310|P06|9401|7|23|0|6|78|14|6|7|0601|2014-08-01 17:04:41
201310|P06|9403|14|38|0|6|136|19|6|7|0601|2014-08-01 17:04:41
201311|P02|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201311|P03|9401|2|16|1|9|57|10|3|3|0601|2014-08-01 17:04:41
201311|P03|9403|3|23|0|11|72|15|7|3|0601|2014-08-01 17:04:41
201311|P04|9402|0|0|0|0|1|0|0|0|0601|2014-08-01 17:04:41
201311|P05|9401|5|4|0|4|32|1|3|5|0601|2014-08-01 17:04:41
201311|P05|9403|5|4|0|4|41|1|4|6|0601|2014-08-01 17:04:41
201311|P06|9402|0|0|0|0|3|0|0|0|0601|2014-08-01 17:04:41
201312|P02|9401|4|11|0|4|46|5|4|5|0601|2014-08-01 17:04:41
201312|P02|9403|9|12|0|6|73|8|6|5|0601|2014-08-01 17:04:41
201312|P03|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201312|P04|9401|6|10|1|2|35|1|0|0|0601|2014-08-01 17:04:41
201312|P04|9403|15|16|2|2|56|1|0|0|0601|2014-08-01 17:04:41
201312|P05|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201312|P06|9401|2|35|0|6|83|16|10|4|0601|2014-08-01 17:04:41
201312|P06|9403|2|76|0|9|118|27|13|5|0601|2014-08-01 17:04:41
201401|P02|9402|2|0|0|0|0|2|0|0|0601|2014-08-01 17:04:41
201401|P03|9401|77|2|4|0|5|55|2|6|0601|2014-08-01 17:04:41
201401|P03|9403|105|4|5|0|6|73|4|10|0601|2014-08-01 17:04:41
201401|P04|9402|1|0|1|0|0|0|0|0|0601|2014-08-01 17:04:41
201401|P05|9401|41|1|7|0|4|23|0|2|0601|2014-08-01 17:04:41
201401|P05|9403|52|1|8|0|3|30|0|2|0601|2014-08-01 17:04:41
201401|P06|9402|2|0|0|0|0|2|0|0|0601|2014-08-01 17:04:41
201402|P02|9401|56|2|6|0|2|30|1|3|0601|2014-08-01 17:04:41
201402|P02|9403|100|4|11|0|1|66|1|3|0601|2014-08-01 17:04:41
201402|P03|9402|1|0|0|0|0|1|0|0|0601|2014-08-01 17:04:41
201402|P04|9401|41|3|7|0|1|23|1|4|0601|2014-08-01 17:04:41
201402|P04|9403|61|6|7|0|1|33|2|6|0601|2014-08-01 17:04:41
201402|P05|9402|2|0|1|0|0|1|0|0|0601|2014-08-01 17:04:41
201402|P06|9401|113|6|20|0|10|56|6|4|0601|2014-08-01 17:04:41
201402|P06|9403|160|7|27|0|10|79|12|8|0601|2014-08-01 17:04:41
201403|P02|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201403|P03|9401|75|8|9|0|6|36|6|5|0601|2014-08-01 17:04:41
201403|P03|9403|116|12|15|0|8|54|12|10|0601|2014-08-01 17:04:41
201403|P04|9402|1|0|0|0|0|1|0|0|0601|2014-08-01 17:04:41
201403|P05|9401|61|1|7|0|5|36|3|5|0601|2014-08-01 17:04:41
201403|P05|9403|90|1|13|0|5|50|3|14|0601|2014-08-01 17:04:41
201403|P06|9402|3|0|1|0|0|2|0|0|0601|2014-08-01 17:04:41
201204|P02|9401|6|13|0|1|53|11|11|5|0601|2013-12-23 16:58:12
201204|P02|9403|11|25|0|1|88|15|16|5|0601|2013-12-23 16:58:12
201204|P03|9402|0|1|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201204|P04|9401|2|10|0|2|43|10|6|2|0601|2013-12-23 16:58:12
201204|P04|9403|2|13|0|2|76|20|20|2|0601|2013-12-23 16:58:12
201204|P05|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201204|P06|9401|8|15|0|6|82|5|11|5|0601|2013-12-23 16:58:12
201204|P06|9403|11|18|0|7|126|8|18|6|0601|2013-12-23 16:58:12
201205|P02|9402|2|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201205|P03|9401|2|8|0|2|45|10|4|9|0601|2013-12-23 16:58:12
201205|P03|9403|2|10|0|2|67|16|7|10|0601|2013-12-23 16:58:12
201205|P04|9402|0|1|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201205|P05|9401|3|5|0|3|39|5|7|3|0601|2013-12-23 16:58:12
201205|P05|9403|7|5|0|3|64|6|9|3|0601|2013-12-23 16:58:12
201205|P06|9402|2|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201206|P02|9401|6|13|0|4|53|5|5|7|0601|2013-12-23 16:58:12
201206|P02|9403|10|23|0|3|66|10|10|8|0601|2013-12-23 16:58:12
201206|P03|9402|2|0|0|0|1|0|0|1|0601|2013-12-23 16:58:12
201206|P04|9401|3|15|0|2|34|7|2|4|0601|2013-12-23 16:58:12
201206|P04|9403|6|21|0|2|63|7|6|4|0601|2013-12-23 16:58:12
201206|P05|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201206|P06|9401|6|25|0|7|82|11|7|5|0601|2013-12-23 16:58:12
201206|P06|9403|19|53|0|7|128|22|9|7|0601|2013-12-23 16:58:12
201207|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201207|P03|9401|5|12|0|2|41|6|2|5|0601|2013-12-23 16:58:12
201207|P03|9403|6|14|0|2|53|8|4|5|0601|2013-12-23 16:58:12
201207|P04|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201207|P05|9401|2|4|0|2|51|1|5|5|0601|2013-12-23 16:58:12
201207|P05|9403|5|7|0|2|78|2|7|5|0601|2013-12-23 16:58:12
201207|P06|9402|0|1|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201208|P02|9401|9|9|0|2|38|12|2|4|0601|2013-12-23 16:58:12
201208|P02|9403|14|11|0|2|74|22|5|6|0601|2013-12-23 16:58:12
201208|P03|9402|0|0|0|0|2|0|0|1|0601|2013-12-23 16:58:12
201208|P04|9401|3|15|0|2|33|7|4|5|0601|2013-12-23 16:58:12
201208|P04|9403|7|26|0|2|44|9|9|7|0601|2013-12-23 16:58:12
201208|P05|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201208|P06|9401|9|32|1|4|80|15|6|2|0601|2013-12-23 16:58:12
201208|P06|9403|21|53|0|4|141|30|18|6|0601|2013-12-23 16:58:12
201209|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201209|P03|9401|4|11|0|3|40|5|6|11|0601|2013-12-23 16:58:12
201209|P03|9403|8|23|0|3|60|12|7|13|0601|2013-12-23 16:58:12
201209|P04|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201209|P05|9401|3|11|0|2|41|2|5|8|0601|2013-12-23 16:58:12
201209|P05|9403|3|23|0|2|50|2|5|9|0601|2013-12-23 16:58:12
201209|P06|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201210|P02|9401|3|19|0|3|53|11|3|5|0601|2013-12-23 16:58:12
201210|P02|9403|3|25|0|3|87|20|3|5|0601|2013-12-23 16:58:12
201210|P03|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201210|P04|9401|7|10|0|1|45|8|1|1|0601|2013-12-23 16:58:12
201210|P04|9403|20|17|0|1|67|16|2|5|0601|2013-12-23 16:58:12
201210|P05|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
