sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG
21000,21030,2103066,weekday,16.25
21000,21030,2103068,weekday,26.72
21000,21030,2103070,weekday,26.66
21000,21030,2103071,weekday,21.45
21000,21040,2104053,weekday,16.79
21000,21040,2104054,weekday,15.01
21000,21040,2104055,weekday,19.89
21000,21040,2104059,weekday,17.06
21000,21040,2104063,weekday,17.66
21000,21040,2104064,weekday,19.11
21000,21040,2104065,weekday,18.58
21000,21040,2104066,weekday,17.45
21000,21040,2104067,weekday,18.13
21000,21040,2104068,weekday,19.54
21000,21040,2104069,weekday,17.59
21000,21050,2105052,weekday,19.42
21000,21050,2105054,weekday,17.95
21000,21050,2105055,weekday,18.26
21000,21050,2105056,weekday,16.48
21000,21050,2105057,weekday,16.71
21000,21050,2105061,weekday,16.58
21000,21050,2105064,weekday,15.71
21000,21050,2105066,weekday,17.7
21000,21050,2105068,weekday,21
21000,21050,2105070,weekday,23.51
21000,21050,2105072,weekday,19.41
21000,21050,2105074,weekday,16.45
21000,21050,2105075,weekday,17.42
21000,21050,2105076,weekday,20.89
21000,21050,2105077,weekday,18.33
21000,21050,2105080,weekday,19.59
21000,21050,2105081,weekday,23.3
21000,21050,2105082,weekday,16.86
21000,21050,2105083,weekday,16.94
21000,21050,2105084,weekday,19.59
21000,21060,2106051,weekday,17.85
21000,21060,2106052,weekday,19.37
21000,21060,2106055,weekday,18.43
21000,21060,2106056,weekday,18.77
21000,21060,2106057,weekday,19.85
21000,21060,2106058,weekday,17.14
21000,21060,2106059,weekday,16.86
21000,21060,2106060,weekday,18.22
21000,21060,2106061,weekday,17.52
21000,21060,2106062,weekday,19.25
21000,21060,2106063,weekday,18.2
21000,21060,2106064,weekday,20.03
21000,21060,2106065,weekday,16.46
21000,21070,2107053,weekday,20.54
21000,21070,2107054,weekday,16.73
21000,21070,2107055,weekday,19.55
21000,21070,2107056,weekday,20.39
21000,21070,2107057,weekday,15.02
21000,21070,2107058,weekday,18.65
21000,21070,2107059,weekday,18.59
21000,21070,2107060,weekday,17.14
21000,21070,2107061,weekday,15.97
21000,21070,2107062,weekday,16.89
21000,21070,2107063,weekday,15.82
21000,21070,2107066,weekday,19.04
21000,21070,2107067,weekday,20.06
21000,21070,2107068,weekday,25.71
21000,21070,2107069,weekday,18.7
21000,21070,2107070,weekday,15.84
21000,21070,2107071,weekday,24.48
21000,21080,2108051,weekday,17.97
21000,21080,2108052,weekday,16.06
21000,21080,2108053,weekday,18.08
21000,21080,2108054,weekday,24.85
21000,21080,2108055,weekday,19.68
21000,21080,2108056,weekday,20.49
21000,21080,2108057,weekday,22.59
21000,21080,2108058,weekday,15.68
21000,21080,2108059,weekday,20.56
21000,21080,2108060,weekday,18.37
21000,21080,2108061,weekday,17.63
21000,21080,2108062,weekday,21.51
21000,21080,2108063,weekday,17.01
21000,21090,2109053,weekday,15.55
21000,21090,2109054,weekday,20.67
21000,21090,2109056,weekday,18.51
21000,21090,2109058,weekday,17.26
21000,21090,2109059,weekday,22.49
21000,21090,2109062,weekday,20.7
21000,21090,2109064,weekday,15.65
21000,21090,2109065,weekday,15.94
21000,21090,2109066,weekday,15
21000,21090,2109067,weekday,15.77
21000,21090,2109068,weekday,17.32
21000,21090,2109069,weekday,17.51
21000,21090,2109070,weekday,17.06
21000,21090,2109071,weekday,20.61
21000,21090,2109072,weekday,21.3
21000,21090,2109073,weekday,17
21000,21090,2109074,weekday,16.96
21000,21090,2109075,weekday,19.7
21000,21100,2110051,weekday,19.08
21000,21100,2110052,weekday,22.31
21000,21100,2110053,weekday,19.88
21000,21100,2110054,weekday,16.67
21000,21100,2110055,weekday,20.24
21000,21100,2110056,weekday,19.36
21000,21100,2110057,weekday,18.92
21000,21100,2110058,weekday,16.64
21000,21100,2110059,weekday,18.04
21000,21100,2110060,weekday,16.18
21000,21100,2110061,weekday,16.76
21000,21100,2110062,weekday,18.45
21000,21100,2110063,weekday,18.05
21000,21100,2110064,weekday,18.05
21000,21100,2110065,weekday,18.53
21000,21100,2110066,weekday,22.79
21000,21110,2111051,weekday,21.48
21000,21110,2111052,weekday,19.39
21000,21110,2111057,weekday,18.01
21000,21110,2111058,weekday,19.29
21000,21110,2111059,weekday,22.4
21000,21110,2111060,weekday,16.73
21000,21110,2111061,weekday,18.01
21000,21110,2111064,weekday,27.24
21000,21110,2111067,weekday,37.93
21000,21110,2111068,weekday,20.6
21000,21110,2111069,weekday,23.87
21000,21110,2111070,weekday,17.95
21000,21110,2111071,weekday,21.95
21000,21110,2111072,weekday,19.15
21000,21110,2111073,weekday,23.47
21000,21110,2111074,weekday,18.54
21000,21120,2112051,weekday,25.72
21000,21120,2112052,weekday,21.38
21000,21120,2112053,weekday,24.85
21000,21120,2112055,weekday,26.67
21000,21120,2112056,weekday,19.8
21000,21120,2112058,weekday,24.02
21000,21120,2112059,weekday,18.08
21000,21120,2112060,weekday,17.28
21000,21130,2113051,weekday,16.52
21000,21130,2113052,weekday,15.93
21000,21130,2113053,weekday,20.91
21000,21130,2113054,weekday,19.22
21000,21130,2113055,weekday,14.97
21000,21130,2113056,weekday,18.56
21000,21130,2113057,weekday,16.45
21000,21130,2113058,weekday,15.21
21000,21130,2113059,weekday,15.4
21000,21130,2113060,weekday,16.58
21000,21130,2113062,weekday,17.75
21000,21130,2113063,weekday,15.42
21000,21140,2114051,weekday,16.91
21000,21140,2114052,weekday,26.25
21000,21140,2114053,weekday,17.33
21000,21140,2114054,weekday,16.73
21000,21140,2114055,weekday,19.18
21000,21140,2114056,weekday,18.95
21000,21140,2114057,weekday,16.91
21000,21140,2114058,weekday,19.64
21000,21140,2114059,weekday,24.63
21000,21140,2114060,weekday,16.71
21000,21150,2115051,weekday,21.43
21000,21150,2115052,weekday,16.4
21000,21150,2115054,weekday,31.84
21000,21150,2115055,weekday,15.31
21000,21150,2115056,weekday,18.15
21000,21150,2115057,weekday,17.22
21000,21150,2115060,weekday,18.3
21000,21150,2115061,weekday,22.72
21000,21150,2115062,weekday,16.81
21000,21150,2115063,weekday,17.38
21000,21150,2115064,weekday,18.44
21000,21150,2115065,weekday,18.15
21000,21310,2131011,weekday,20.69
21000,21310,2131012,weekday,24.43
21000,21310,2131013,weekday,20.21
21000,21310,2131031,weekday,27.22
21000,21310,2131033,weekday,24.1
22000,22010,2201054,weekday,22.93
22000,22010,2201056,weekday,15.11
22000,22010,2201059,weekday,14.97
22000,22010,2201061,weekday,14.92
22000,22010,2201062,weekday,16
22000,22010,2201064,weekday,15.52
22000,22010,2201065,weekday,14.59
22000,22010,2201066,weekday,15.23
22000,22010,2201067,weekday,14.45
22000,22010,2201068,weekday,20.73
22000,22010,2201069,weekday,16.67
22000,22010,2201070,weekday,17.83
22000,22020,2202051,weekday,18.28
22000,22020,2202052,weekday,16.29
22000,22020,2202053,weekday,17.77
22000,22020,2202054,weekday,17.49
22000,22020,2202055,weekday,17.44
22000,22020,2202056,weekday,16.13
22000,22020,2202058,weekday,15.75
22000,22020,2202059,weekday,17.46
22000,22020,2202060,weekday,16.89
22000,22020,2202061,weekday,18.21
22000,22020,2202062,weekday,62.94
22000,22020,2202063,weekday,18.69
22000,22020,2202065,weekday,17.59
22000,22020,2202066,weekday,18.04
22000,22020,2202068,weekday,21.47
22000,22020,2202069,weekday,27.64
22000,22020,2202071,weekday,20.61
22000,22020,2202073,weekday,19.54
22000,22020,2202074,weekday,21.29
22000,22020,2202076,weekday,21.13
22000,22020,2202077,weekday,16.92
22000,22020,2202078,weekday,19.07
22000,22030,2203051,weekday,17.06
22000,22030,2203052,weekday,16.97
22000,22030,2203053,weekday,16.1
22000,22030,2203054,weekday,16.27
22000,22030,2203055,weekday,15.72
22000,22030,2203056,weekday,17.83
22000,22030,2203057,weekday,17.56
22000,22030,2203058,weekday,16.9
22000,22030,2203059,weekday,23.33
22000,22030,2203060,weekday,16.66
22000,22030,2203061,weekday,16.68
22000,22030,2203062,weekday,16.36
22000,22030,2203063,weekday,17.12
22000,22030,2203064,weekday,17.2
22000,22030,2203065,weekday,16.64
22000,22030,2203066,weekday,24.5
22000,22030,2203068,weekday,15.42
22000,22040,2204051,weekday,19.76
22000,22040,2204053,weekday,16.93
22000,22040,2204054,weekday,19.59
22000,22040,2204055,weekday,17.65
22000,22040,2204056,weekday,15.15
22000,22040,2204057,weekday,16.24
22000,22040,2204058,weekday,17.89
22000,22040,2204059,weekday,17.46
22000,22040,2204060,weekday,16.28
22000,22040,2204061,weekday,16.99
22000,22040,2204064,weekday,17.42
22000,22040,2204065,weekday,19.03
22000,22040,2204066,weekday,17.73
22000,22050,2205051,weekday,17.42
22000,22050,2205052,weekday,16.89
22000,22050,2205055,weekday,34.78
22000,22050,2205056,weekday,22.07
22000,22050,2205057,weekday,18.72
22000,22050,2205061,weekday,17.56
22000,22050,2205062,weekday,16.45
22000,22050,2205063,weekday,17.31
22000,22050,2205064,weekday,18.16
22000,22050,2205065,weekday,19.3
22000,22050,2205066,weekday,15.73
22000,22050,2205070,weekday,22.21
22000,22050,2205071,weekday,21.53
22000,22050,2205074,weekday,17.69
22000,22050,2205075,weekday,23.88
22000,22050,2205076,weekday,21.8
22000,22050,2205077,weekday,24.95
22000,22050,2205078,weekday,19.66
22000,22050,2205079,weekday,15.86
22000,22050,2205081,weekday,20.93
22000,22050,2205082,weekday,15.78
22000,22050,2205083,weekday,17.56
22000,22050,2205084,weekday,17.56
22000,22060,2206051,weekday,16.09
22000,22060,2206052,weekday,15.96
22000,22060,2206053,weekday,15.76
22000,22060,2206054,weekday,17.59
22000,22060,2206055,weekday,20.42
22000,22060,2206056,weekday,19.09
22000,22060,2206057,weekday,19.88
22000,22060,2206058,weekday,16.2
22000,22060,2206059,weekday,15.61
22000,22060,2206060,weekday,15.45
22000,22060,2206061,weekday,16.89
22000,22060,2206062,weekday,15.69
22000,22060,2206063,weekday,16.11
22000,22060,2206064,weekday,17.17
22000,22060,2206065,weekday,22.17
22000,22060,2206066,weekday,17.02
22000,22060,2206067,weekday,16.69
22000,22060,2206068,weekday,17.35
22000,22060,2206069,weekday,17.92
22000,22060,2206070,weekday,16.04
22000,22060,2206071,weekday,17.8
22000,22060,2206072,weekday,20.53
22000,22060,2206073,weekday,19
